"count_date","location","lng","lat","count_id","time_trend","daily_cars","daily_bus","daily_peds","daily_bike"
2019-01-26,"BLOOR ST AT THE WEST MALL (PX 793)",-79.562318,43.6356250029797,38239,2582,16787,160,560,11
2019-02-21,"GIBBS ROAD AT THE EAST MALL",-79.55721571,43.63833449,38399,2608,10630,129,173,7
2019-02-21,"THE QUEENSWAY AT SHERWAY GARDENS RD (PX 887)",-79.552265,43.61506799749,38401,2608,27571,50,29,5
2019-04-10,"BLOOR ST AT THE EAST MALL (PX 792)",-79.556709,43.636929,38653,2656,21521,291,730,41
2019-05-16,"BLOOR ST W AT RIVERSIDE DR W",-79.49084435,43.6481015,38901,2692,13629,187,165,106
2019-05-22,"BLOOR ST W AT MARTIN GROVE RD",-79.54504644,43.63967284,38919,2698,10167,200,169,41
2019-05-22,"BLOOR ST W AT WILMAR RD (PX 2212)",-79.544506,43.639778,38921,2698,10021,199,98,41
2019-05-22,"BURNHAMTHORPE RD AT MARTIN GROVE RD (PX 785)",-79.548981,43.6488059964487,38917,2698,16724,221,284,31
2019-05-22,"DRIVEWAY TO #451 THE WEST MALL",-79.56783871,43.64702301,38939,2698,5653,118,304,22
2019-05-22,"ISLINGTON AVE AT NORSEMAN ST (PX 705)",-79.519131,43.634217,38943,2698,21975,190,1036,74
2019-05-22,"KIPLING AVE AT LAKE SHORE BLVD (PX 237)",-79.51695,43.598198,38949,2698,11381,403,4079,116
2019-05-22,"KIPLING AVE AT NORSEMAN ST (PX 725)",-79.53106899,43.6314829961288,38937,2698,15416,294,325,42
2019-05-22,"KIPLING AVE AT NORTH QUEEN ST (PX 724)",-79.528552,43.6252069969846,38933,2698,19364,322,248,44
2019-05-22,"KIPLING AVE AT WARNICA AVE",-79.52755057,43.6228000515258,38935,2698,13621,319,115,32
2019-05-23,"MORNINGSIDE AVE AT WINDERMERE AVE (PX 2525)",-79.478395,43.64494,38773,2699,6118,176,983,23
2019-06-18,"CENTRAL PARK RDWY AT CORDOVA AVE - WEST INTERSECTION",-79.52696429,43.64794059,38997,2725,6042,221,733,36
2019-06-18,"DELROY DR AT ROYAL YORK RD",-79.50392318,43.6294913348929,39005,2725,7964,238,275,219
2019-06-18,"NORSEMAN ST AT ROYAL YORK RD",-79.50705275,43.63694433,39021,2725,10683,250,708,258
2019-06-18,"NORTH QUEEN ST AT INDEX RD",-79.55375074,43.61947511,39023,2725,12827,43,369,26
2019-06-18,"NORTH QUEEN ST AT NOVA RD (PX 1927)",-79.55696,43.616107002455,39015,2725,10821,47,431,13
2019-06-18,"NORTH QUEEN ST AT SHORNCLIFFE RD (PX 1327)",-79.54066899,43.622472,39019,2725,12491,110,93,46
2019-06-18,"NORTH QUEEN ST AT THE EAST MALL (PX 1056)",-79.549415,43.620475,39017,2725,17912,119,456,40
2019-06-18,"NORTH QUEEN ST AT THE QUEENSWAY (PX 917)",-79.556154,43.614217,39013,2725,23757,97,483,31
2019-06-18,"ROYAL YORK RD AT YORKVIEW DR",-79.5044773,43.63080556,39003,2725,7919,239,649,240
2019-06-20,"LORNE AVE AT PARK LAWN RD",-79.49109485,43.6308054658199,39007,2727,6502,78,224,26
2019-06-20,"PARK LAWN RD AT RINGLEY AVE",-79.49078015,43.63006283,39009,2727,6978,80,117,28
2019-06-20,"STEPHEN DR AT THE QUEENSWAY (PX 563)",-79.484262,43.630381,39011,2727,19672,107,334,68
2019-07-11,"ARMADALE AVE AT BLOOR ST W (PX 2404)",-79.48296801,43.6496870031299,38975,2748,10387,233,4381,205
2019-07-25,"PARK LAWN RD AT DRIVEWAY TO 88/90 PARK LAWN RD",-79.48336957,43.6238120317075,39167,2762,14033,81,9,127
2019-11-05,"FOLKES ST AT JANE ST",-79.48513553,43.650907242034,39263,2865,6737,355,623,12
2019-12-05,"MOYNES AVE AND WINSLOW ST AT THE QUEENSWAY",-79.49856916,43.6272365,39313,2895,11040,127,103,6
2019-12-17,"CORDOVA AVE AT MABELLE AVE",-79.5255089,43.6472038937279,39329,2907,3375,150,1123,1
2019-12-18,"CIVIC CENTRE CRT AT THE WEST MALL (PX 1525)",-79.566001,43.642248,40279,2908,7008,152,211,3
2019-12-18,"LAKE SHORE BLVD AT THIRTY-SEVENTH ST (PX 241)",-79.53817999,43.5933960003354,39587,2908,11958,185,1405,13
2019-12-18,"LAKE SHORE BLVD W ATTWENTIETH ST",-79.51914461,43.5977,39595,2908,7671,201,891,17
2019-12-18,"THE WEST MALL AT WAULRON ST",-79.56224375,43.61983198,39443,2908,8623,48,47,1
2019-12-19,"BLOOR ST W AT LAUREL AVE",-79.55147943,43.63817659,39593,2909,12150,237,42,4
